index,stadium_name,lon,lat,attendance
438,HDS Arena,55.397745,10.35022493,3350
439,Energi Viborg Arena,56.1169164,8.951716477,3254
440,BioNutria Park Randers,55.7211638,12.3686863,3928
441,Telia Parken,56.4559039,9.40202035,13253
442,Brøndby Stadion,56.46607165,10.01015413,11535
443,Blue Water Arena,55.70270425,12.57226378,5329
444,Telia Parken,55.6503299,12.4170778,10195
445,Ceres Park,55.48194305,8.438397123,6734
446,EWII Park (Odense),55.70270425,12.57226378,5807
447,MCH Arena,56.1327356,10.196762,8006
448,Telia Parken,55.397745,10.35022493,11914
449,Aalborg Portland Park,56.1169164,8.951716477,9276
450,Blue Water Arena,55.70270425,12.57226378,5575
451,Sydbank Park,57.05203525,9.898599342,5052
452,Energi Viborg Arena,55.48194305,8.438397123,5137
453,Brøndby Stadion,55.2613291,9.4877072,22281
454,BioNutria Park Randers,56.4559039,9.40202035,7764
455,Right to Dream Park,55.6503299,12.4170778,5871
456,HDS Arena,56.46607165,10.01015413,2132
457,Right to Dream Park,55.81619865,12.35303259,4811
458,BioNutria Park Randers,55.7211638,12.3686863,5371
459,Aalborg Portland Park,55.81619865,12.35303259,5518
460,Telia Parken,56.46607165,10.01015413,13141
461,Brøndby Stadion,57.05203525,9.898599342,11347
462,MCH Arena,55.70270425,12.57226378,5604
463,EWII Park (Odense),55.6503299,12.4170778,7868
465,Ceres Park,56.1169164,8.951716477,6662
466,Energi Viborg Arena,55.397745,10.35022493,5691
467,Telia Parken,56.1327356,10.196762,10458
468,Blue Water Arena,56.4559039,9.40202035,5461
469,HDS Arena,55.70270425,12.57226378,2745
470,Energi Viborg Arena,55.48194305,8.438397123,3495
471,Right to Dream Park,55.7211638,12.3686863,3801
472,Sydbank Park,56.4559039,9.40202035,8210
473,Brøndby Stadion,55.81619865,12.35303259,11650
474,BioNutria Park Randers,55.2613291,9.4877072,4209
475,Blue Water Arena,55.6503299,12.4170778,5143
476,MCH Arena,56.46607165,10.01015413,7068
477,Aalborg Portland Park,55.48194305,8.438397123,8355
478,Telia Parken,56.1169164,8.951716477,16492
479,EWII Park (Odense),57.05203525,9.898599342,10272
