index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
1804,21-22,Sep 12 2021,8,Peter Kjærsgaard-Andersen,Aalborg Portland Park (Aalborg),,Viborg,AaB,Lost,Won,0,3,2,3,1,1,19,18,0.47,0.53,9,8,0,0,2,1,11,8,2.25,3.55,"14,930,556",2.29,"9,444,444",2.03,"9,861,111",8,7,11,11,"[57.05203525, 9.898599342025985]"
1805,21-22,Sep 12 2021,8,Sandi Putros,Sydbank Park (Haderslev),,Randers,København,Lost,Won,0,3,0,2,0,1,12,10,0.47,0.53,11,7,0,0,1,1,7,3,3.07,"17,013,889","10,486,111","9,166,667",2.08,1.32,1.18,3,5,9,5,"[55.2613291, 9.487707200000001]"
1806,21-22,Sep 12 2021,8,Michael Tykgaard,JYSK park (Silkeborg),,AGF,Vejle,Won,Lost,3,0,1,0,0,0,16,16,0.55,0.45,11,15,0,0,0,3,6,3,"9,861,111",3.04,4.05,1.49,1.29,"10,555,556","8,819,444",8,4,8,12,"[56.184187, 9.5751522579733]"
1807,21-22,Sep 13 2021,8,Anders Poulsen,Vejle Stadion (Vejle),,OB,Sønderjyske,Won,Lost,3,0,2,1,2,1,13,18,0.54,0.46,5,13,0,0,1,3,5,5,"9,097,222",3.08,4.04,"10,069,444",1.41,1.44,2.14,4,8,9,10,"[55.71372409999999, 9.556157838024756]"
1808,21-22,Sep 17 2021,9,Jens Maae,Ceres Park & Arena (Århus),,AaB,OB,Won,Lost,3,0,2,0,0,0,20,10,0.45,0.55,11,6,0,0,6,3,12,0,"10,763,889",3.55,"17,013,889",1.01,1.41,2.22,1.05,7,3,13,7,"[56.1316074, 10.19619137741853]"
1809,21-22,Sep 19 2021,9,Aydin Uslu,Brøndby Stadion (Brøndby),,Vejle,Viborg,Draw,Draw,1,1,1,1,1,1,20,16,0.55,0.45,5,14,0,0,1,1,3,5,3.08,3.07,"10,208,333",1.02,"9,375","9,375",1.05,2,3,18,13,"[55.6480283, 12.4154952]"
1810,21-22,Sep 19 2021,9,Jakob A. Sundberg,MCH Arena (Herning),,Randers,Nordsjælland,Won,Lost,3,0,3,2,3,2,21,15,0.54,0.46,13,8,0,0,1,2,8,11,2.04,3.35,"14,236,111","8,472,222",1.48,2.17,"9,583,333",7,6,14,9,"[56.1169164, 8.951716477487706]"
1811,21-22,Sep 19 2021,9,Morten Krogh,Brøndby Stadion (Brøndby),,Sønderjyske,Brøndby,Won,Lost,3,0,1,0,0,0,20,12,"4,652,778",0.33,13,10,0,0,2,5,5,6,3.03,"17,013,889",2.05,"8,541,667",1.58,"10,694,444",1.47,7,3,13,9,"[55.6480283, 12.4154952]"
1812,21-22,Sep 19 2021,9,Jakob Kehlet,Energi Viborg Arena (Viborg),34358,København,Midtjylland,Lost,Won,0,3,0,1,0,0,15,9,0.28,"0,05",13,6,0,1,3,1,3,2,"10,763,889",3.45,"17,013,889","9,861,111",1.08,"9,652,778",1.03,6,3,9,6,"[56.455903899999996, 9.402020349999999]"
1813,21-22,Sep 20 2021,9,Jørgen Daugbjerg Burchardt,Cepheus Park Randers (Randers),,Silkeborg,AGF,Lost,Won,0,3,0,2,0,0,12,8,0.33,"4,652,778",8,20,0,0,2,3,3,6,2.05,3.04,2.07,"8,402,778",1.51,1.35,1.21,2,5,10,3,"[56.46607165, 10.010154126188361]"
1814,21-22,Sep 26 2021,10,Jørgen Daugbjerg Burchardt,Ceres Park & Arena (Århus),,Midtjylland,Randers,Won,Lost,3,0,1,0,1,0,10,14,0.58,0.42,9,12,0,0,2,3,3,8,1.57,4.01,5.25,2.15,"9,375",1.13,"9,444,444",3,5,7,9,"[56.1316074, 10.19619137741853]"
1815,21-22,Sep 26 2021,10,Jakob Kehlet,Nature Energy Park (Odense),,Viborg,OB,Draw,Draw,1,1,1,1,1,0,18,14,0.44,0.56,13,9,0,0,2,2,3,4,2.02,3.45,3.01,2.23,1.34,2.05,1.39,7,4,11,10,"[55.397745, 10.35022492586062]"
